LSOA_code,Region,LA_Code,LA_Name,SS_pop,SSPTt,SSPT15n,SSPT30n,SSPT45n,SSPT60n,SSPT15pct,SSPT30pct,SSPT45pct,SSPT60pct,SSCyct,SSCyc15n,SSCyc30n,SSCyc45n,SSCyc60n,SSCyc15pct,SSCyc30pct,SSCyc45pct,SSCyc60pct,SSCart,SSCar15n,SSCar30n,SSCar45n,SSCar60n,SSCar15pct,SSCar30pct,SSCar45pct,SSCar60pct
E01027716,Yorkshire and The Humber,E07000165,Harrogate,94,14,1,2,4,7,73,100,100,100,11,2,5,6,6,100,100,100,100,9,4,10,10,10,100,100,100,100
E01027717,Yorkshire and The Humber,E07000165,Harrogate,105,11,2,2,5,8,100,100,100,100,9,2,5,6,7,100,100,100,100,8,4,9,10,10,100,100,100,100
E01027718,Yorkshire and The Humber,E07000165,Harrogate,151,16,0,4,5,10,25,100,100,100,11,4,5,6,6,100,100,100,100,9,4,9,10,10,100,100,100,100
E01027719,Yorkshire and The Humber,E07000165,Harrogate,121,9,1,2,5,6,100,100,100,100,9,2,5,6,6,100,100,100,100,8,4,9,10,10,100,100,100,100
E01027720,Yorkshire and The Humber,E07000165,Harrogate,80,34,0,0,6,9,0,0,100,100,20,0,5,6,6,0,100,100,100,14,3,8,10,10,100,100,100,100
E01027721,Yorkshire and The Humber,E07000165,Harrogate,77,34,0,0,5,8,0,0,100,100,22,0,5,6,6,0,100,100,100,15,2,8,10,10,92,100,100,100
E01027722,Yorkshire and The Humber,E07000165,Harrogate,118,37,0,0,5,7,0,0,100,100,23,0,5,6,6,0,100,100,100,15,1,8,10,10,31,100,100,100
E01027723,Yorkshire and The Humber,E07000165,Harrogate,108,34,0,0,6,9,0,0,100,100,19,0,5,6,6,0,100,100,100,13,3,7,10,10,100,100,100,100
E01027724,Yorkshire and The Humber,E07000165,Harrogate,113,48,0,0,4,6,0,4,50,63,35,0,0,5,10,0,0,100,100,18,0,10,10,10,0,100,100,100
E01027725,Yorkshire and The Humber,E07000165,Harrogate,96,27,0,2,5,8,0,81,81,100,27,0,1,6,8,0,100,100,100,14,1,10,10,10,81,100,100,100
E01027726,Yorkshire and The Humber,E07000165,Harrogate,95,21,0,3,6,10,0,100,100,100,17,0,6,6,8,0,100,100,100,13,3,9,10,10,100,100,100,100
E01027727,Yorkshire and The Humber,E07000165,Harrogate,73,23,0,4,6,10,0,100,100,100,15,0,6,6,8,22,100,100,100,12,4,9,10,10,100,100,100,100
E01027728,Yorkshire and The Humber,E07000165,Harrogate,68,20,0,3,6,9,0,100,100,100,16,0,6,6,8,0,100,100,100,12,4,9,10,10,100,100,100,100
